Item Name,Brand Name,Device Condition,Material Recovery Rate,Device Type,Year of Manufacturing,Cost of Recovery,Gold (g),Silver (g),Copper (g),Palladium (g),Platinum (g),Recycling Score
Galaxy Tab,Acer,Damaged,75.62922549096253,Tablet,2013,21.77176265594417,0.029024068020248622,0.2602528613689628,23.834708426765843,0.009167219508019844,0.0006481313739812054,69.13958556680839
Inkjet Printer,Lenovo,Good,80.37628432868253,Printer,2011,18.130727715920763,0.008472594320534018,0.10122303517164619,54.199540731560994,0.0028778030571503924,0.000422764054875782,64.9192571143157
Smart TV,Acer,Excellent,86.06073101042107,TV,2014,23.32076028226576,0.015859478549563488,0.2855483532487211,85.72426309715773,0.0055923348326530845,0.0008427292894794561,68.58849570370185
Laser Printer,Sony,Damaged,77.3150639104195,Printer,2009,22.540286556519728,0.006292123892790189,0.06497228470644568,48.2375368113454,0.002810831783569052,0.0003424447567595243,66.14415493512064
Inkjet Printer,Nokia,Scrap,77.94520692243262,Printer,2015,21.781505817699262,0.004672883642575853,0.049135280245444765,29.374963940320267,0.00146549613920809,0.00019893228169653068,62.857850659197304
Galaxy S21,Xiaomi,Damaged,87.00540394591795,Smartphone,2025,10.256336467728206,0.025619568189051665,0.15544273943282952,13.577975636070352,0.009542424252968331,0.000740773804210744,84.1813310909726
Dell XPS,Intel,Scrap,71.16963337375569,Laptop,2024,22.71011505104028,0.04496049817930725,0.42862546884876457,73.2229447003869,0.018599113340598494,0.0010590935551928638,62.051439959679605
Enterprise Router,Samsung,Scrap,70.63734091498182,Router,2018,18.51701780461369,0.00623349417443254,0.08861009334044789,29.71462239816337,0.005533744888965006,0.000488134699967235,74.705023702941
Rack Server,LG,Excellent,91.10437931129611,Server,2022,37.60524603502268,0.2493622997591142,3.297837550742403,455.51465841051515,0.08831300560588098,0.005844735159635691,78.9961817464771
Smart TV,Samsung,Scrap,70.46600844574596,TV,2014,25.82713446789528,0.008962244987603769,0.16527347226145211,46.61920285005388,0.002845895960963691,0.000492011251950095,60.314647575087236
Laser Printer,Intel,Fair,87.61020098984949,Printer,2015,18.974027823884942,0.009105031021366951,0.09824437030176787,57.298987297144784,0.003292391161457299,0.00046562603555961153,73.37084633497837
Galaxy Tab,Xiaomi,Good,81.31771958287257,Tablet,2017,12.771594543637573,0.04593671610100267,0.46589875788879775,41.97896400994784,0.013584587383199388,0.0007945195676087604,77.6724559930528
Enterprise Router,Intel,Excellent,91.12373633589633,Router,2014,12.15362381282578,0.017706071819279075,0.20261001777410323,56.33488225037795,0.010746911188683156,0.0010512438273689785,80.64383971222848
iPhone 11,Dell,Fair,89.66090833018768,Smartphone,2024,7.5159097997295685,0.03137934548454194,0.24412286868500108,16.18526012165135,0.01036332034737768,0.001088840295808876,75.46943205488346
Rack Server,OnePlus,Fair,80.96473181501678,Server,2013,42.769964502739434,0.1753935233316022,1.8411072097275962,319.52525350137375,0.06166439846437753,0.0033815599531319697,71.12444544094032
Blade Server,Samsung,Damaged,74.41529091010986,Server,2008,51.97821840522906,0.12904732885172518,1.7923567997223369,261.9131853429524,0.05399631910290565,0.002876950045009989,57.616494337896924
Blade Server,Nokia,Excellent,94.08012912217069,Server,2015,43.24535151584739,0.23024514535182575,2.58020208411611,386.3610810348555,0.08602965247848433,0.003814601928061936,70.23770506598895
iPad,HP,Damaged,77.15549202452698,Tablet,2016,15.168780055055837,0.030005672956656872,0.2845422618318462,28.69338736699845,0.01018202968156084,0.0006660374988944328,64.04138342993488
Blade Server,Dell,Excellent,89.61740231175429,Server,2019,47.00152259513441,0.23107822843774048,3.134745472851714,455.4992102184764,0.09404846108355952,0.0056558027855222156,69.02349510376033
Rack Server,Acer,Good,92.1052365059244,Server,2022,39.45430108185528,0.19861010075708008,3.0078262334727115,421.022554333645,0.08703385293027573,0.00462356164971981,74.72804956421747
Enterprise Router,Sony,Good,90.8499058352212,Router,2025,11.452695020653575,0.016022408196315105,0.192907488761375,63.18594903104113,0.009055709878070303,0.0008748920981613532,80.90897814779049
iPhone 11,Apple,Damaged,73.27111524405115,Smartphone,2010,18.750955048846368,0.021171538058320408,0.15961560967048738,10.709971305350617,0.006770505547320739,0.0005668045045818385,58.85157600723013
Enterprise Router,Acer,Good,78.99482472534132,Router,2008,16.04274267182229,0.012150730494159875,0.15661818428311877,44.08707456158586,0.00808322815189338,0.0005951707702694883,67.95824343261046
Smart TV,Panasonic,Excellent,83.80350610985008,TV,2021,15.012819768916286,0.02089238380483634,0.31444088068087345,106.06598509472416,0.006312969858087595,0.0009913485164487021,73.9718051572496
Blade Server,Sony,Scrap,80.68959568452095,Server,2018,49.62972293642779,0.11671396969130154,1.5381323478318818,195.1903148345237,0.03805254724937885,0.002504408090377292,63.945649102158825
Office PC,Panasonic,Damaged,76.5236222482842,Desktop,2018,34.338090347768954,0.07455397850768515,0.9372982736331124,169.1827312400465,0.024884427826284528,0.0016512124757515467,64.82676350004616
LED TV,HP,Good,82.45168871583259,TV,2009,23.310268838346847,0.016657103549889685,0.2517479553696548,73.4525291550759,0.005849646682721276,0.0009392354195984701,55.44971634517196
Workstation,Intel,Fair,86.9856217187853,Desktop,2020,27.937229786897827,0.10401853819172859,1.3975182840241238,248.31506893445268,0.037151385135125566,0.00270183791995124,61.41415266230805
WiFi Router,Sony,Damaged,78.4987853809795,Router,2021,13.107496190305778,0.010456758616638749,0.14399120087730521,40.944459196651586,0.006069968526499657,0.0006888905243032348,71.80407946361973
WiFi Router,Asus,Excellent,84.29731460812559,Router,2011,12.619001853423022,0.014372793607778612,0.17662060280632,55.858714639718734,0.00878142044375006,0.0008637429363194341,69.65609986508716
Smart TV,OnePlus,Excellent,85.16853632696771,TV,2008,23.32917798138108,0.015091515619196019,0.251791410270513,81.25392787163884,0.004063469117603038,0.0008436753522077637,73.47614811424481
LED TV,Xiaomi,Scrap,63.98778392350551,TV,2009,33.298283486801196,0.009150045215806955,0.12212155441153605,38.893363942528524,0.0027040148675003097,0.00040488784506306124,51.03714316491161
Blade Server,Panasonic,Good,92.87449262521768,Server,2024,39.71546290455186,0.20343289537544784,2.2477478404250895,429.7515065281075,0.0709544916322166,0.004881371312518513,70.92781230894447
Enterprise Router,Panasonic,Good,84.80883649050585,Router,2014,12.037474734106818,0.01458869583216504,0.1393042246171074,45.36092329198174,0.00796328389714097,0.0008506989597491614,69.6352170869937
Galaxy Tab,OnePlus,Good,87.6145370453413,Tablet,2014,13.412051761029804,0.039713073192861506,0.37029297931753935,36.02414419401129,0.013740219514337506,0.0009359801990123785,74.1959274648562
Laser Printer,Cisco,Scrap,67.42639212678692,Printer,2012,26.29146387185713,0.005385965878216252,0.058723033463890996,30.84617488630545,0.002068274152650083,0.0002175288460204948,50.952119794720815
Enterprise Router,Sony,Fair,83.64602653046376,Router,2022,11.883780194337248,0.011561940643831484,0.19573533511345745,50.140900215341034,0.009205734168291037,0.0008772460137576321,69.3310806741457
WiFi Router,Intel,Good,88.53856880622067,Router,2016,14.240506537966283,0.014392282800611878,0.19139763339644553,51.728611823356594,0.009411633362165734,0.0007420201751297534,73.13182774964086
LED TV,LG,Good,87.03001394063654,TV,2017,24.19664097936461,0.019432679523182405,0.2923198332807942,86.65033960918699,0.005446952796257708,0.0010039068862371435,76.11983360105899
Laser Printer,OnePlus,Damaged,63.43618062216119,Printer,2010,21.242761446114006,0.005829889540963388,0.06113248894171761,36.6884194399823,0.001974287498329643,0.0002788366136297116,56.72384914839455
Galaxy Tab,Lenovo,Scrap,63.65597756017911,Tablet,2012,21.2028971899859,0.018090312470489932,0.19725757612947123,16.12338598150643,0.006329738372515263,0.0005267598619547476,56.69204275916978
Laser Printer,Intel,Fair,88.73539231360967,Printer,2008,17.159513623316215,0.0074054244788142685,0.09903936414481851,58.07574510262692,0.00332816076401358,0.00036086648489604465,66.68142177145236
iPad,Panasonic,Damaged,78.05491784085191,Tablet,2018,16.170967894551502,0.03106356040922951,0.2777993521174167,26.497679659034414,0.010501755639960206,0.000605602142179567,71.13131150795805
MacBook Pro,Cisco,Damaged,75.44311369869371,Laptop,2009,27.969593362644922,0.05262691941576988,0.5262442012033532,86.74368221545264,0.01967759886934493,0.0009350760151117315,66.87093223398826
Galaxy S21,Sony,Excellent,84.42582015101812,Smartphone,2015,8.689496126512946,0.035964201375431035,0.289416207861493,18.107552605385198,0.010056701812070063,0.0011587921153657884,74.94396549997997
Blade Server,Sony,Good,84.9477650448972,Server,2011,46.54038876024116,0.1980485263941885,2.739005168500076,406.1080700539744,0.07405439685753445,0.004182874461516868,66.36095179629584
Lenovo ThinkPad,Dell,Good,87.3282194846112,Laptop,2019,20.435209952157706,0.08316634970043435,0.8656043784362334,143.35650717132683,0.033154487144370505,0.0021791649730148466,74.62425431804128
Blade Server,Acer,Damaged,77.71655473834106,Server,2010,52.73394992769919,0.10953520383039457,1.4276136012845015,249.87203576524422,0.0452204446567901,0.002632794410242241,51.335091978916566
Enterprise Router,Apple,Excellent,93.83441179939534,Router,2020,7.835563841142962,0.015067645583434508,0.19881783827786698,60.512153921523634,0.01131203858086429,0.0011842165230868732,80.65843027529453
Galaxy Tab,Sony,Good,73.70112135419039,Tablet,2009,17.271061683610863,0.040931184216489225,0.38594294991641076,37.94713437806107,0.014424071824007718,0.0008146764734143626,79.2966031210785
iPad,Sony,Scrap,71.4684666612539,Tablet,2011,22.350487865147297,0.022081504764298293,0.20276992555589837,20.870528489994207,0.007091451457858106,0.00045865016753954296,56.100739722250054
Laser Printer,LG,Good,89.7242930704658,Printer,2018,20.837382203474974,0.008612949086204443,0.13325706039252694,68.2837419400434,0.003894115203386767,0.00047806574077232224,73.1572354502104
Galaxy Tab,Lenovo,Good,76.11705050408747,Tablet,2015,14.350240857107226,0.041657221052763746,0.3892257540498092,39.079205692034684,0.012426282935341546,0.0009487863626963146,71.72337091069335
Inkjet Printer,Intel,Scrap,69.90385333308188,Printer,2013,23.136693090737527,0.0051409559133145655,0.05233434554882453,29.721877650005997,0.0018229018237472148,0.00020707794872673737,53.578608391701394
OLED TV,Cisco,Damaged,76.86667723459249,TV,2011,24.211778858349472,0.013107590033871153,0.18240248103197715,62.28869011342956,0.0030810730927942065,0.0005531187814790087,62.298377639081814
Office PC,Sony,Fair,88.09712187498711,Desktop,2024,26.870311961033952,0.11166826769997229,1.3192166999916162,232.09878832326618,0.03772076335817167,0.002573099530667017,71.65965266613473
LED TV,Apple,Good,78.03743968924972,TV,2009,20.554943269450128,0.020165861007233752,0.2286814831443364,86.07241316022433,0.0038170385509830804,0.0006625212792499747,66.76410456794854
Rack Server,Panasonic,Excellent,80.09384393556097,Server,2009,45.226218057534,0.19906989564721222,2.4257211754547874,368.0898874586093,0.07410905330888815,0.004790219950745354,61.48682053066432
OnePlus 9,Sony,Scrap,71.58673940020846,Smartphone,2023,15.847491555274672,0.01882244568579878,0.12142126307037321,9.268444692326597,0.006228982657039946,0.0004812155477461077,64.30082780814708
Dell XPS,Samsung,Scrap,68.7383449017284,Laptop,2018,27.869304010310174,0.04628544755975679,0.40753698656393716,67.77121217012994,0.01452850623306486,0.0010694575771674076,60.04126928016801
WiFi Router,Acer,Good,92.45874773705087,Router,2015,11.326997538101754,0.014629872355621664,0.15847598292846343,45.53059669413919,0.007891094499994972,0.0007179099226709576,72.62434089418248
Inkjet Printer,HP,Excellent,81.52048925183657,Printer,2021,10.243061167498674,0.01199474811431617,0.11196449265950169,79.41432375700325,0.003788913814112555,0.0006102686666100303,69.52578491669688
Lenovo ThinkPad,Nokia,Good,88.48902913765508,Laptop,2016,21.214290993797434,0.08653591352911937,0.8009457542823833,122.38503198221503,0.030006833714864935,0.002168857634301983,70.53318569643906
Blade Server,Samsung,Scrap,74.57036631917221,Server,2016,49.16170455961013,0.09528644782219176,1.3630112710028923,182.9854584089953,0.04055034394826753,0.002898715847211235,55.855801226998814
HP Pavilion,Asus,Scrap,78.12637299165475,Laptop,2024,26.06722790763354,0.04822909980020705,0.4805819076435858,62.41331644051368,0.0148849729459504,0.0009337582104618912,52.09844293475133
Rack Server,Apple,Good,83.40624381033177,Server,2018,46.44262383940027,0.1999632040197914,2.6594544942943075,358.88573775439875,0.07870754633002967,0.003962326849218851,58.46185132079256
OLED TV,LG,Good,83.31614718619585,TV,2008,24.47513372866272,0.017817623605892962,0.2196836421573043,91.02313356342485,0.004970539643146418,0.0008598892883862581,58.569440636666954
Redmi Note,Asus,Fair,81.57008170245007,Smartphone,2012,15.659690837456115,0.02562784093981713,0.17348274231301822,11.84898587741098,0.009571392678617693,0.0007067387941090555,68.13819479103582
Mi Pad,Intel,Fair,87.9303804374822,Tablet,2025,10.574438129476476,0.055212266656779335,0.4274875307849436,36.3064882305063,0.013788245974896213,0.001001231809697474,80.76675812068963
OnePlus 9,LG,Damaged,75.67842267554826,Smartphone,2012,19.09339703542714,0.018173608224717804,0.16495702084584166,10.019615686853408,0.007106268829281652,0.0006688508501885478,68.2887327203861
Enterprise Router,Acer,Scrap,73.06838037064885,Router,2020,19.33696946927708,0.0073972525847844015,0.09702706820177506,23.92311395165594,0.0047261006744758905,0.0003788808384921256,64.29691307839732
Enterprise Router,Dell,Scrap,77.24606965027623,Router,2021,14.539680155271082,0.007725454988615623,0.0977556732200129,29.20220559632454,0.004936636576523082,0.0004741174607212119,70.44506653250191
Redmi Note,Asus,Scrap,65.58126161474337,Smartphone,2020,15.398830316886286,0.014552069315785586,0.12499428419187333,8.036985807276531,0.00550936847451155,0.00047231771494245494,67.57261827785325
Workstation,Lenovo,Scrap,70.28806885249497,Desktop,2012,37.94634190118291,0.05287903373539613,0.589936653590767,98.45948135896681,0.01735066619465077,0.0013243477343793813,51.391398197507854
Dell XPS,Sony,Excellent,81.5656040000234,Laptop,2017,19.404738745257976,0.0927173591955295,0.774469837791158,158.65829168764478,0.03313013187297693,0.0017867447218797333,74.74050336705648
Mi Pad,Apple,Fair,74.57041667341451,Tablet,2009,16.208843840645663,0.035489084140108346,0.30619524509007284,28.700890729692148,0.009877070398729674,0.0005866287466807388,70.10307414636856
Smart TV,Acer,Excellent,93.08443423115085,TV,2012,17.760079324685314,0.017813091402093646,0.2529018423455738,97.63242081739168,0.00509213462553273,0.00100796658859505,74.32176326794408
iPhone 11,Sony,Excellent,88.32754041749882,Smartphone,2018,10.053201463246863,0.036460944001341596,0.2586663108358397,20.21306144701558,0.01230977335640838,0.0010328363194943616,70.15585630714946
Inkjet Printer,LG,Fair,76.18551974829421,Printer,2008,25.414752730065416,0.00787829998818613,0.09633586797007186,52.91581156513295,0.0028622743617601983,0.00034421843538586585,66.73474586136386
Mi Pad,Acer,Good,92.53443861562187,Tablet,2022,10.658887082675609,0.043611971951007814,0.4263326713430613,38.41930430533973,0.014763250543231661,0.0009859072217562946,78.46099085629484
MacBook Pro,Panasonic,Good,85.7668877017998,Laptop,2016,23.84952206169308,0.06875744720575684,0.7189880099592288,130.94697957485914,0.024366649932519847,0.0016270558678333437,64.22603862512184
HP Pavilion,LG,Scrap,65.57273543146921,Laptop,2012,26.22120746467189,0.028491525810673296,0.3673833699472235,65.86811317871174,0.013568939164303554,0.0009936665578596142,60.06120907352716
OLED TV,Nokia,Excellent,91.06002805520457,TV,2016,20.504833264374057,0.019766960139461907,0.29802954872191195,97.28119930188107,0.0060391813595984,0.0010090613279561949,76.03394712517425
iPad,Intel,Good,86.06576405088292,Tablet,2025,9.930919357839267,0.05925456588437058,0.5539447844765554,44.26379416059121,0.017160657780700157,0.0010560044208429977,78.32058620277645
Smart TV,Sony,Damaged,69.64242776140277,TV,2013,25.15928419685717,0.013110407163812801,0.19638451899781673,59.44211725647014,0.0038069495946460854,0.0006861664427855643,59.86235493789003
HP Pavilion,Intel,Fair,81.7944809706711,Laptop,2019,23.926044709593686,0.08508105224947819,0.7157706321174006,136.02363366762333,0.02726266144846849,0.0018307624737336082,68.40961514875264
Mi Pad,Nokia,Damaged,73.58133670677181,Tablet,2012,18.734085442062586,0.031386546644738,0.22786482411126252,24.29282501616779,0.00890123753710361,0.0005617045121480162,65.7079100907404
Gaming PC,Nokia,Good,80.49677845074817,Desktop,2008,30.99792318600201,0.08276687662062913,1.216272315447631,203.6500130210322,0.03263118158012201,0.0025083295584435662,54.31748806142808
Mi Pad,LG,Excellent,85.08903871405037,Tablet,2010,16.89727266944192,0.05030413360314811,0.4646421565002863,35.84354277241447,0.013734697060908178,0.0008335280027718712,76.51074550442046
Mi Pad,Intel,Fair,83.9330700092143,Tablet,2014,14.145480438158284,0.045768052857746475,0.41761830925326493,34.8081517645482,0.011299009742991669,0.0008303494894644014,80.54318149437724
Lenovo ThinkPad,LG,Damaged,73.48238958907858,Laptop,2010,30.061005510565252,0.056842697489865215,0.5215686647453569,78.9775303705043,0.016613183452850736,0.0011872622370575822,58.45466757709365
WiFi Router,Lenovo,Scrap,77.39016032116031,Router,2023,17.569858051644292,0.007322412122355304,0.09362022620551019,26.222808896283915,0.004594722746202923,0.0005023919057728128,69.49629636687395
Laser Printer,Cisco,Good,84.00093396140365,Printer,2012,18.609955876679418,0.008554511015427264,0.11391495109586472,69.63036699013315,0.0038651485859168555,0.0004149915333792642,65.28814053269991
Inkjet Printer,HP,Excellent,88.05880425014462,Printer,2010,16.33078992941329,0.008468584819526144,0.11112861616621636,63.55061438577476,0.003795503489705522,0.00039944935954872496,76.9930251399153
Dell XPS,OnePlus,Damaged,73.21653528797086,Laptop,2012,29.507043044931322,0.04897786013322376,0.49985657689867613,77.10481245697129,0.015661753414174598,0.0013882309840088022,54.649439743418895
Office PC,Acer,Scrap,71.28684199210753,Desktop,2019,37.85405256367091,0.05462137594361489,0.6425337083861445,114.7582280527432,0.016772138278881774,0.0012911390182808091,55.27606481881932
Laser Printer,Apple,Excellent,87.05544621806655,Printer,2014,15.841976065765028,0.010092904641649657,0.13280090075079176,64.23816866438347,0.0038876008526967354,0.00047127166557586547,68.19189209337637
Enterprise Router,Asus,Fair,80.02006671450457,Router,2015,15.801021124696506,0.011581835870332362,0.13912188944612325,44.293968821738936,0.00802885456547063,0.0007227228245247743,64.81014041750132
WiFi Router,Apple,Scrap,74.45603992713909,Router,2012,20.72906673243093,0.007301847770890813,0.08746669154652503,23.935526456915763,0.004512344696170223,0.00040052299132265455,68.29661822967135
iPad,Apple,Excellent,88.61819758436297,Tablet,2015,11.786847506259683,0.04824992640421793,0.4877354134356095,42.17379895201236,0.017596903576656317,0.0009442938195701227,73.17862068514243
OLED TV,Dell,Fair,82.41330304150897,TV,2009,22.094345558997386,0.016034786328145468,0.24988397773948898,85.48405108515247,0.004543710832386673,0.0006926378698480821,69.70185764025237
OLED TV,OnePlus,Scrap,77.59263419447659,TV,2022,20.27133694338181,0.008731405326327324,0.13876369433082358,46.03906002334633,0.0027018791598826465,0.0004972778445416151,60.738007863962864
MacBook Pro,Lenovo,Damaged,75.3089263018059,Laptop,2018,26.960996483531943,0.04809210011852242,0.6375998154265045,84.95104127301637,0.02125581244079205,0.0010218752959411579,63.43644523819056
Blade Server,HP,Fair,79.05755887567277,Server,2015,46.89760025521189,0.18561780005669876,2.0385470045842204,367.9491748143959,0.06926489285799582,0.004208607693496193,58.56786050776408
iPhone 11,Acer,Damaged,78.9407993154188,Smartphone,2019,12.698863903788565,0.018500702603164856,0.15163683497723426,10.858985842384248,0.008006814748039782,0.00047292650266165967,71.49298791532283
LED TV,Intel,Damaged,75.16768453522343,TV,2019,19.898202699020207,0.014233798868893012,0.20585969158034761,68.82466047788012,0.003681153518082189,0.0007675432048368515,63.22334436389376
Lenovo ThinkPad,Dell,Fair,80.23201465124795,Laptop,2025,19.07322501776423,0.06922534549194401,0.8485588283336396,127.35517804214818,0.03079958601091094,0.001968035180618849,72.2573599700997
Mi Pad,Asus,Damaged,83.59495401577517,Tablet,2020,16.053383076128103,0.03336581077838808,0.30873881223813754,28.161259681103445,0.0092989394676661,0.0006476293546980724,72.66157484404981
Laser Printer,Intel,Good,83.66018054187147,Printer,2021,14.330011225635241,0.010216731968778488,0.12034410394182068,73.65074673233532,0.003936760805089677,0.000517686677396801,73.357993224986
LED TV,Panasonic,Excellent,95.34346536747123,TV,2023,12.848162277096165,0.019945198835162072,0.3141995107514982,100.25383515196417,0.0065350676713987746,0.0010325739085452939,92.22445875176479
Rack Server,Cisco,Damaged,76.59714585061963,Server,2022,48.10617469082063,0.1437220062940867,2.02966831169824,278.3253461151674,0.05943501414011015,0.0036082064764857208,55.942888867151765
Redmi Note,Apple,Excellent,87.4304830218042,Smartphone,2011,12.352158344780408,0.03408050936418464,0.21611019524175146,16.76089070322789,0.013213147923712023,0.0010227235207769972,74.76727809461873
Inkjet Printer,Asus,Excellent,91.9245034091275,Printer,2009,16.406743355166242,0.00894969895360591,0.10952495581944059,57.68907009693624,0.0037361819830375206,0.00039252335539207046,75.18608739167938
Redmi Note,Panasonic,Fair,80.42220251869742,Smartphone,2008,13.330429210359075,0.026402672035583243,0.1710300307426748,12.824751350846835,0.00946084322167875,0.0007376250137616468,65.80843876776088
Workstation,Sony,Good,82.75440030017951,Desktop,2011,30.450999917578603,0.11935790487205179,1.3434804238029125,248.95275339419226,0.03881062751910466,0.0031084595083352372,61.815477975650595
Dell XPS,Apple,Excellent,84.5858560576912,Laptop,2010,21.013709352707686,0.0744135810605686,0.7198848298186274,122.08940325199293,0.031490080252831384,0.0015559543111656794,67.73251046505182
Blade Server,Samsung,Fair,77.46803067859551,Server,2011,47.768284244544844,0.17994377334299602,2.1329653361790415,361.0869747006893,0.07347040458605253,0.0031273782691518875,64.5010460263972
Laser Printer,Intel,Excellent,81.30372050442824,Printer,2017,19.807238016843133,0.010491340837398845,0.1304352647674825,70.91953412229982,0.003754037317858992,0.0006230277002560622,70.93507406214471
Inkjet Printer,Intel,Scrap,77.11229310576192,Printer,2024,19.23262694618257,0.005594406540779626,0.06660057985071889,36.57739136574959,0.0021972047024562207,0.00026027794322699694,60.66741496609086
Galaxy Tab,Asus,Fair,86.58735466339522,Tablet,2023,16.479035125179163,0.03880074634347656,0.34579255762538796,37.07327767614784,0.011816332424143443,0.0006746171228898392,75.99866128919363
Smart TV,OnePlus,Scrap,75.90414920897015,TV,2021,28.043253001660947,0.008560936541185598,0.11779816767775493,42.38248019179219,0.002659857489711493,0.00040616443107067474,61.68984854320558
Laser Printer,Asus,Fair,85.25475357460647,Printer,2023,16.393922666493218,0.008448153287104942,0.09258805271159255,63.28298090940631,0.0033138637521708883,0.00039290762666755683,71.39723084403495
Enterprise Router,Intel,Damaged,71.61449632294463,Router,2016,19.35883945652743,0.010970210690335646,0.13749530679592467,36.05937639425003,0.006910713169510019,0.0007003133790002675,61.657472231343576
Blade Server,Acer,Scrap,71.8582073940419,Server,2022,51.63914609339731,0.09840700668050174,1.3576410587586285,200.71085325072733,0.0342823711389227,0.0024705087373077333,46.54561413270022
Workstation,Nokia,Fair,81.6603583420888,Desktop,2022,27.091784717104023,0.10170851675877629,1.091453746038268,245.06222249109544,0.029559621894880858,0.0026257388893893598,69.67952927089814
